,Datetime,Tags,Like_Count,Location,User_Name,URL,Location_URL
25,2019년 12월 27일,"['#첫줄', '#진주시내카페', '#진주이너스', '#카페맛집', '#친스타그램', '#좋아요', '#휴무', '#톰과제리', '#치즈케이크', '#당근케이크', '#에멘탈치즈케이크', '#딸기에이드', '#카페라떼', '#먹스타그램', '#맛스타그램', '#디저트맛집', '#일상', '#소통', '#데일리', '#맞팔']",102,Jinju,lovely__yona__,https://www.instagram.com/p/B6kOpO8Aux6/,https://www.instagram.com/explore/locations/241425218/jinju/
26,2019년 12월 23일,"['#더블치즈케이크', '#어메이징밀땅바이젠', '#치즈케이크', '#바이젠', '#맥주', '#루타99', '#cheezecake', '#cake', '#weizen', '#beer']",18,서울시 영등포구 양평동,yeon_and_ho_happy_house,https://www.instagram.com/p/B6aocQdF8vr/,https://www.instagram.com/explore/locations/285312385/
27,2019년 12월 29일,"['#누트', '#카페누트', '#울산카페', '#전하동카페', '#일산지카페', '#울산동구카페', '#울산커피맛집', '#울산커피', '#울산맛집', '#전하동맛집', '#울산동구맛집', '#일산지맛집', '#울산가볼만한곳', '#울산데이트', '#울산핫플', '#레어치즈케이크', '#자몽치즈케이크', '#치즈케이크', '#쇼콜라', '#기네스쇼콜라', '#딸기라떼']",45,"Ulsan, South Korea",cafe_nut_,https://www.instagram.com/p/B6p9YL9FESx/,https://www.instagram.com/explore/locations/1017206871/ulsan-south-korea/
28,2019년 12월 30일,"['#어느멋진날', '#속초', '#속초여행', '#강원도여행', '#카페', '#오션뷰카페', '#루프탑', '#루프탑카페', '#양양카페', '#소품카페', '#애견동반카페', '#속초카페', '#이쁜카페', '#카페추천', '#강원도카페', '#카페투어', '#카페스타그램', '#이쁜카페', '#카페추천', '#솜사탕라떼', '#구름커피', '#아임파인땡큐', '#올라프', '#치즈케이크', '#존맛탱']",17,어느멋진날카페,hyewon_4859,https://www.instagram.com/p/B6r8saOFnkv/,https://www.instagram.com/explore/locations/1945734659068204/
29,2019년 12월 23일,"['#크리스마스케이크', '#당근케이크', '#치즈케이크', '#촉촉초코케이크', '#딸기생크림케이크', '#커피와글']",24,커피와글 위례신도시점,coffeewaggle_wirye,https://www.instagram.com/p/B6ZrkotJVyO/,https://www.instagram.com/explore/locations/197975510786774/
30,2019년 12월 27일,"['#travel', '#roadtrip', '#newyork', '#buffalo', '#buffalony', '#buffalonewyork', '#niagarafalls', '#niagarafallscanada', '#nystyle', '#newyorkstyle', '#newyorkcheesecake', '#berries', '#여행', '#여행스타그램', '#미국여행', '#미국여행', '#캐나다여행', '#캐나다여행', '#나이아가라폭포', '#뉴욕스타일', '#뉴욕치즈케이크', '#뉴욕치즈케잌', '#치즈케이크', '#치즈케익']",10,Skylon Tower,backstreet.2020,https://www.instagram.com/p/B6kmrEJJfR2/,https://www.instagram.com/explore/locations/276985149/skylon-tower/
31,2019년 12월 30일,"['#cheesecake', '#seriouseats', '#seouleats', '#치즈케이크', '#expatliving', '#forkyeah', '#goodlife', '#goodeats', '#케이크', '#카페그램', '#카페인테리어', '#카페', '#먹스타그램', '#멋스타그램', '#c27', '#coffeeshop', '#c27cheesecakeandcoffee', '#koreaeats', '#yummy']",20,C27,_mkpearson,https://www.instagram.com/p/B6r6HE9Jl-1/,https://www.instagram.com/explore/locations/1010807364/c27/
32,2019년 12월 22일,"['#일상', '#데일리', '#먹스타그램', '#맛스타그램', '#빵스타그램', '#디저트', '#마이디어스윗', '#공릉', '#공릉카페', '#카페투어', '#서울카페', '#카페', '#앙산도', '#스콘', '#치즈케이크', '#딸기치즈케이크', '#녹차앙치즈케이크', '#dessert', '#mydearsweet', '#cafe', '#seoulcafe']",183,공릉역,minisaru23,https://www.instagram.com/p/B6X3RhmFO2K/,https://www.instagram.com/explore/locations/449165753/
33,2019년 12월 26일,"['#오십이도', '#카페오십이도', '#카페52도']",31,오십이도,cafe_5_2,https://www.instagram.com/p/B6hVYxxhyxU/,https://www.instagram.com/explore/locations/295532661330343/
34,2019년 12월 27일,"['#아르무아', '#건대카페', '#건대맛집', '#건대루프탑', '#생긴것도치즈케이크', '#치즈케이크', '#비엔나커피', '#오렌지에이드', '#예성카페']",37,Cafe. Armoire,juxoxeun,https://www.instagram.com/p/B6kYYymBJUh/,https://www.instagram.com/explore/locations/217004775644070/cafe-armoire/
