,count,word
534,1,#유산슬
535,16,#베이킹
536,1,#옥정호카페
537,1,#자몽티
538,2,#청귤티
539,31,#초코케이크
540,1,#영화카페
541,6,#분위기
542,1,#벤시몽레스토랑
543,6,#오랜만에
544,8,#가로수길
545,2,#수다타임
546,1,#수다수다
547,1,#가로수길맛집
548,4,#가로수길카페
549,1,#cheesecakecafe
550,1,#치즈케익카페
551,1,#투샷
552,3,#연남동
553,6,#연남동맛집
554,11,#연남동카페
555,1,#아이엠어텀
556,7,#케익
557,6,#홍대맛집
558,54,#daily
559,5,#커피바움
560,5,#전주커피바움
561,5,#coffeebaum
562,12,#첫줄
563,13,#전주여행
564,63,#좋아요
565,29,#좋반
566,5,#전주혁신도시맛집
567,5,#혁신도시
568,6,#라떼맛집
569,5,#전주혁신도시카페
570,13,#전주카페
571,5,#전주혁신도시
572,5,#전주혁신
573,48,#아메리카노
574,3,#수제과일청
575,5,#수제디져트
576,5,#소잘라떼
577,5,#락토프리
578,1,#서가앤쿡
579,1,#목살한상
580,1,#해물토마토파스타
581,1,#가운헌
582,1,#이뻐
583,3,#구월동
584,1,#옥련동
585,1,#로데오거리
586,1,#여주
587,1,#오학
588,1,#오학카페
589,2,#여주카페
590,1,#여주다방
591,25,#수제케이크
592,2,#수제케이크주문
593,1,#루돌프쿠키
594,1,#해피크리스마스퍼레이드
595,2,#친구랑
596,4,#카페데이트
597,1,#꽃집
598,1,#삼성동
599,1,#삼성동카페
600,3,#고구마라떼
601,1,#아이스크림와플
602,1,#눈오는날
603,1,#개짱나
604,10,#주말데이트
605,33,#먹방
606,1,#다이어트식단
607,6,#행복
608,7,#디오더
609,6,#구월동카페
610,3,#구월동핫플
611,4,#구월동맛집
612,3,#딸기차
613,9,#인천카페
614,1,#스윗로즈
615,1,#스윗로즈베이킹클래스
616,1,#스윗로즈베이킹스튜디오
617,2,#bakingclass
618,1,#홈베이킹클래스
619,1,#동탄베이킹클래스
620,1,#수원베이킹클래스
621,1,#화성베이킹클래스
622,1,#오산베이킹클래스
623,6,#baking
624,1,#sweetrose
625,2,#chocolatecake
626,2,#christmascake
627,2,#동탄케이크
628,1,#동탄주문케이크
629,1,#초코밀키멜로
630,2,#수플레치즈케이크
631,1,#COACH
632,6,#울산
633,19,#울산카페
634,1,#울산카페추천
635,2,#옥동카페
636,3,#공허의숲
637,1,#디저트판매
638,2,#원두판매
639,4,#드립커피
640,25,#당근케이크
641,1,#디저트포장
642,2,#고모역카페
643,3,#룰리커피
644,1,#8dcafe
645,2,#도산공원카페
