,Location,Datetime,Tags,Like_Count,User_Name,url
40,StudioWup,2019년 12월 19일,"['#서울맛집', '#서울여행', '#이대맛집', '#cheesecake', '#milktea', '#studiowup', '#치즈케이크', '#밀크티']",55,jessicahou930,https://www.instagram.com/p/B6iZAqHglUY/
41,오브너,2019년 12월 15일,"['#오브너', '#오브너케이크', '#동성로카페', '#카페추천', '#디저트맛집', '#ovener', '#치즈케이크', '#케이크추천', '#감성카페', '#대구디저트', '#대구케이크', '#치즈케이크맛집', '#치케', '#대구카페', '#대구카페추천', '#디저트', '#데이트카페', '#케이크주문', '#대구동성로', '#디저트장인', '#플레이팅장인', '#꾸덕꾸덕', '#달다구리']",58,real._.jini,https://www.instagram.com/p/B6fiwKBD9Wi/
42,레몬드 Lemoned,2019년 12월 19일,['#어글리시스터즈의카페'],38,lemoned_pastry,https://www.instagram.com/p/B6h_0dElvPg/
43,카페여러날,2019년 12월 17일,"['#카페여러날', '#딸기', '#치즈케이크', '#향남카페', '#향남맛집', '#맛집', '#향남', '#향남2지구']",28,underneathdawn,https://www.instagram.com/p/B6DEGuKpKOB/
44,신동카페거리,2019년 12월 15일,"['#유마카롱', '#신동', '#수원마카롱', '#마카롱', '#마카롱맛집', '#신동마카롱', '#영통마카롱', '#망포마카롱', '#매탄동마카롱', '#동탄마카롱', '#수원맛집', '#인계동맛집', '#광교맛집', '#마카롱택배', '#일상', '#한입마카롱', '#미니마카롱', '#선물', '#맛집', '#디저트맛집', '#치즈케이크', '#영통맛집', '#youmacaron', '#macarons', '#톰쇼콜라케이크', '#신동카페거리', '#제리치즈케이크', '#크리스마스']",73,you_macaron,https://www.instagram.com/p/B6ktfg1FVtC/
45,세종시 새롬동,2019년 12월 15일,"['#마카롱', '#세종시마카롱', '#새롬동카페', '#마카롱맛집', '#예쁜카페', '#두헤브마카롱', '#커피숍', '#새롬동카페', '#마카롱', '#예쁜카페', '#좌식테이블카페', '#세종시마카롱', '#커피맛좋은카페', '#치즈케이크', '#수제디저트', '#수제마카롱', '#머랭쿠키', '#세종시머랭쿠키', '#스콘', '#새롬동마카롱', '#슈', '#에끌레어', '#그래놀라', '#영양간식', '#마들렌', '#티라미수']",13,junghee0383,https://www.instagram.com/p/B6O4rsgplgR/
46,"Busan, South Korea",2019년 12월 25일,"['#유나유리베이커리', '#크리스마스', '#크리스마스케이크', '#치즈케이크', '#생크림케이크', '#초코생크림케이크', '#슈톨렌', '#부산빵집', '#빵', '#온천천', '#부산', '#식빵맛집', '#탕종식빵', '#시오빵', '#메론빵', '#bread', '#breadlover', '#cristmas', '#cristmascake']",21,yunayuri_bakery,https://www.instagram.com/p/B6gtWGrFyZy/
47,"Seoul, Korea",2019년 12월 22일,"['#카페', '#콜드브루라떼', '#라떼', '#딸기', '#치즈케이크', '#케이크', '#디저트']",38,kgy_y,https://www.instagram.com/p/B6k_piJBUSA/
48,카페 포인트,2019년 12월 29일,[],37,hgjm___,https://www.instagram.com/p/B6XRxfGHwHQ/
49,"Osaka, Japan",2019년 12월 22일,"['#라떼', '#카페', '#크리스마스', '#일루미네이션', '#오사카여행', '#치즈케이크', '#케이크', '#cafelatte', '#coffee', '#caf', '#cake', '#christmas', '#Illumination', '#creampuff', '#cheesecake', '#traveljapan', '#dolce', '#sweet']",151,os777_hwa,https://www.instagram.com/p/B6lKHURFYIT/
50,영종도,2019년 12월 29일,"['#overthinking', '#유산슬', '#베이킹', '#치즈케이크', '#딸기']",7,eenigma.house,https://www.instagram.com/p/B6KzSo3FUyl/
51,카페거실,2019년 12월 20일,[],89,jiniyang96,https://www.instagram.com/p/B6cdWrKlBYN/
52,코티지683,2019년 12월 29일,"['#카페', '#옥정호카페', '#자몽티', '#청귤티', '#초코케이크', '#치즈케이크', '#영화카페', '#분위기']",14,leejmin0808,https://www.instagram.com/p/B6Sek8Ppt9S/
53,Garosu-gil / Sinsa-dong Garosu-gil,2019년 12월 22일,"['#벤시몽레스토랑', '#오랜만에', '#가로수길', '#수다타임', '#수다수다', '#가로수길맛집', '#가로수길카페', '#C27', '#cheesecakecafe', '#치즈케익카페', '#치즈케이크', '#투샷']",28,happyjohanna0912,https://www.instagram.com/p/B6SaDmKDh2o/
